product,quantity,total_price,customer_name,customer_email
Smart Device 5,2,152.18,Kayla Martinez,robertsonmatthew@example.com
Portable Monitor 25,1,1395.19,Matthew Hayes,qhardin@example.net
Wireless Mouse 21,2,272.90,Rhonda May,tylercole@example.com
Smart Phone 20,3,2264.94,Jacqueline Garner,ashleytate@example.net
Wireless Headphones 14,1,274.62,Michael Cameron,ortizwilliam@example.com
Wireless Charger 11,5,2687.80,Antonio Burton,csmith@example.net
Wireless Headphones 9,3,4171.11,Felicia Richmond,kirbyashley@example.org
Smart Device 13,5,484.30,Raymond Spencer,xbentley@example.com
Wireless Mouse 21,5,682.25,Steven Hernandez,melindacruz@example.org
Portable Monitor 25,5,6975.95,William Fischer,gonzalessean@example.org
Wireless Speaker 4,2,3339.88,David Kelly,idunn@example.org
Smart Phone 18,1,621.81,Joseph Hunt,thomasmatthew@example.org
Portable Charger 17,4,7540.04,Paula Haley,devin28@example.net
Wireless Headphones 14,5,1373.10,Gregory Miller,zbrooks@example.com
Smart Device 5,5,380.45,Emily Dawson,robert39@example.org
Professional Tablet 22,3,1930.17,Aaron Wilson,qmercado@example.net
Professional Display 8,1,775.09,Ashley Smith,deborahbarron@example.com
Smart Phone 7,2,1846.02,Amanda Glover,andersonbrian@example.com
Wireless Charger 11,1,537.56,John Taylor,burkejoe@example.org
Portable Projector 24,5,6268.65,Hector Schroeder,kschwartz@example.org
Gaming Keyboard 15,3,1172.79,Stuart Shelton,jessica66@example.com
Smart Device 13,3,290.58,Bobby Villa,crystal63@example.org
Portable Charger 17,5,9425.05,Timothy Chandler,zwilliams@example.net
Gaming Keyboard 15,2,781.86,Erin Robinson,tclark@example.net
Portable Charger 16,2,140.18,Michael Becker,blackchristopher@example.com
